First Name,Last Name,Pos,Pro Team,Age,Percent Owned,Fantasy Team,Fantasy Points,Pass Yards,Rush Yards,Rec Yards,Pass TDs,Rush TDs,Rec TDs,Pass Comp,Pass Att,Rush Att,Receptions,INTs,INT TDs,Fumbles Lost,Sacked,Sacked Yards,2-Point Pass Conv,2-Point Rush Conv,2-Point Rec Conv,FGs,FG Miss,PATs,PAT Miss,DEF Points Against,DEF INTs,DEF INT TDs,DEF Fum Rec,DEF Fum Rec TDs,DEF Yards Allowed,DEF Pass Yards Allowed,DEF Rush Yards Allowed,DEF Safety,DEF Sacks,DEF Tackles,DEF Blocked Punt,DEF Blocked FG,DEF Blocked PAT,DEF Blocked Punt TD,DEF Blocked FG TD,Kick Return Yards,Punt Return Yards,Kick Return TDs,Punt Return TDs,DP INT,DP INT TD,DP Fum Rec,DP Fum Rec TD,DP Tackle,DP Assist,DP Full Sack,DP Half Sack,DP Safety,DP TFL,DP Pass Def,FG <40,FG 40-49,FG 50+,Games Played,
Matt,Ryan,QB,IND ,37,85.87,"WTFNFL",17.00,352,12,0,1,0,0,32,50,4,0,1,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Michael,Carter,RB,NYJ ,23,99.30,"WTFNFL",17.00,0,60,40,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Miles,Sanders,RB,PHI ,25,99.58,"Throwin' Bombs, Bangin' Moms",17.00,0,96,9,0,1,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
O.J.,Howard,TE,HOU ,28,25.45,"",17.00,0,0,38,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Russell,Wilson,QB,DEN ,34,99.72,"Stompin' Nightmares",17.00,340,2,0,1,0,0,29,42,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Tyreek,Hill,WR,MIA ,28,100.00,"Herb Your Enthusiasm ",17.00,0,6,94,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Davis,Mills,QB,HOU ,24,71.61,"WTFNFL",16.00,240,-1,0,2,0,0,23,37,2,0,0,0,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Derek,Carr,QB,LV  ,31,98.60,"Super Lamario",16.00,295,0,0,2,0,0,22,37,0,0,3,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Geno,Smith,QB,SEA ,32,28.95,"",16.00,195,14,0,2,0,0,23,28,6,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Jaylen,Waddle,WR,MIA ,24,100.00,"Super Lamario",16.00,0,8,69,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
MIA,Team Defense,DF,MIA ,0,42.11,"Wetherby Whalers",16.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,1,291,213,78,0,2,40,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,
Brandin,Cooks,WR,HOU ,29,99.58,"Wetherby Whalers",15.00,0,0,82,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Cade,York,PK,CLE ,21,24.20,"",15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Christian,McCaffrey,RB,CAR ,26,100.00,"Goff My Lawn",15.00,0,33,24,0,1,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
D.J.,Chark,WR,DET ,26,88.39,"GeekSquad",15.00,0,0,52,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
DeAndre,Carter,WR,LAC ,29,2.24,"",15.00,0,0,64,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Jamaal,Williams,RB,DET ,27,82.52,"The Real Slim Brady",15.00,0,28,2,0,2,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
James,Conner,RB,ARI ,27,99.86,"Stompin' Nightmares",15.00,0,26,29,0,1,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Jared,Goff,QB,DET ,28,63.78,"",15.00,215,9,0,2,0,0,21,37,2,0,1,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Joe,Flacco,QB,NYJ ,37,19.02,"",15.00,307,0,0,1,0,0,37,59,1,0,1,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Leonard,Fournette,RB,TB  ,27,100.00,"Wetherby Whalers",15.00,0,127,10,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Nick,Chubb,RB,CLE ,27,100.00,"GeekSquad",15.00,0,141,2,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Sterling,Shepard,WR,NYG ,29,43.36,"",15.00,0,0,71,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Taysom,Hill,TE,NO  ,32,24.48,"",15.00,0,81,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Younghoe,Koo,PK,ATL ,28,76.01,"London Spitfires",15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Gerald,Everett,TE,LAC ,28,75.80,"Lazard People",14.00,0,0,54,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Marquise,Brown,WR,ARI ,25,99.72,"Stompin' Nightmares",14.00,0,0,43,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Trevor,Lawrence,QB,JAC ,23,99.44,"GeekSquad",14.00,275,4,0,1,0,0,24,42,2,0,1,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
